sample_id,cell_type
A3P2MEP-A3_a3p2,MEP
A3P2MEP-A4_a3p2,MEP
A3P2MEP-A5_a3p2,MEP
A3P2MEP-A6_a3p2,MEP
A3P2MEP-A7_a3p2,MEP
A3P2MEP-A8_a3p2,MEP
A3P2MEP-A9_a3p2,MEP
A3P2MEP-B1_a3p2,MEP
A3P2MEP-B10_a3p2,MEP
A3P2MEP-B11_a3p2,MEP
A3P2MEP-B12_a3p2,MEP
A3P2MEP-B2_a3p2,MEP
A3P2MEP-B3_a3p2,MEP
A3P2MEP-B4_a3p2,MEP
A3P2MEP-B5_a3p2,MEP
A3P2MEP-B6_a3p2,MEP
A3P2MEP-B7_a3p2,MEP
A3P2MEP-B8_a3p2,MEP
A3P2MEP-B9_a3p2,MEP
A3P2MEP-C1_a3p2,MEP
A3P2MEP-C10_a3p2,MEP
A3P2MEP-C11_a3p2,MEP
A3P2MEP-C12_a3p2,MEP
A3P2MEP-C2_a3p2,MEP
A3P2MEP-C3_a3p2,MEP
A3P2MEP-C4_a3p2,MEP
A3P2MEP-C5_a3p2,MEP
A3P2MEP-C6_a3p2,MEP
A3P2MEP-C7_a3p2,MEP
A3P2MEP-C8_a3p2,MEP
A3P2MEP-C9_a3p2,MEP
A3P2MEP-D1_a3p2,MEP
A3P2MEP-D10_a3p2,MEP
A3P2MEP-D11_a3p2,MEP
A3P2MEP-D12_a3p2,MEP
A3P2MEP-D2_a3p2,MEP
A3P2MEP-D3_a3p2,MEP
A3P2MEP-D4_a3p2,MEP
A3P2MEP-D5_a3p2,MEP
A3P2MEP-D6_a3p2,MEP
A3P2MEP-D7_a3p2,MEP
A3P2MEP-D8_a3p2,MEP
A3P2MEP-D9_a3p2,MEP
A3P2MEP-E1_a3p2,MEP
A3P2MEP-E10_a3p2,MEP
A3P2MEP-E11_a3p2,MEP
A3P2MEP-E12_a3p2,MEP
A3P2MEP-E2_a3p2,MEP
A3P2MEP-E3_a3p2,MEP
A3P2MEP-E4_a3p2,MEP
A3P2MEP-E5_a3p2,MEP
A3P2MEP-E6_a3p2,MEP
A3P2MEP-E7_a3p2,MEP
A3P2MEP-E8_a3p2,MEP
A3P2MEP-E9_a3p2,MEP
A3P2MEP-F1_a3p2,MEP
A3P2MEP-F10_a3p2,MEP
A3P2MEP-F11_a3p2,MEP
A3P2MEP-F12_a3p2,MEP
A3P2MEP-F2_a3p2,MEP
A3P2MEP-F3_a3p2,MEP
A3P2MEP-F4_a3p2,MEP
A3P2MEP-F5_a3p2,MEP
A3P2MEP-F6_a3p2,MEP
A3P2MEP-F7_a3p2,MEP
A3P2MEP-F8_a3p2,MEP
A3P2MEP-F9_a3p2,MEP
A3P2MEP-G1_a3p2,MEP
A3P2MEP-G10_a3p2,MEP
A3P2MEP-G11_a3p2,MEP
A3P2MEP-G12_a3p2,MEP
A3P2MEP-G2_a3p2,MEP
A3P2MEP-G3_a3p2,MEP
A3P2MEP-G4_a3p2,MEP
A3P2MEP-G5_a3p2,MEP
A3P2MEP-G6_a3p2,MEP
A3P2MEP-G7_a3p2,MEP
A3P2MEP-G8_a3p2,MEP
A3P2MEP-G9_a3p2,MEP
A3P2MEP-H1_a3p2,MEP
A3P2MEP-H10_a3p2,MEP
A3P2MEP-H11_a3p2,MEP
A3P2MEP-H12_a3p2,MEP
A3P2MEP-H2_a3p2,MEP
A3P2MEP-H3_a3p2,MEP
A3P2MEP-H4_a3p2,MEP
A3P2MEP-H5_a3p2,MEP
A3P2MEP-H6_a3p2,MEP
A3P2MEP-H7_a3p2,MEP
A3P2MEP-H8_a3p2,MEP
A3P2MEP-H9_a3p2,MEP
A1P3-7141-A1_a1p3,7141
A1P3-7141-A10_a1p3,7141
A1P3-7141-A11_a1p3,7141
A1P3-7141-A12_a1p3,7141
A1P3-7141-A2_a1p3,7141
A1P3-7141-A3_a1p3,7141
A1P3-7141-A4_a1p3,7141
A1P3-7141-A5_a1p3,7141
A1P3-7141-A6_a1p3,7141
A1P3-7141-A7_a1p3,7141
A1P3-7141-A8_a1p3,7141
A1P3-7141-A9_a1p3,7141
A1P3-7141-B1_a1p3,7141
A1P3-7141-B10_a1p3,7141
A1P3-7141-B11_a1p3,7141
A1P3-7141-B12_a1p3,7141
A1P3-7141-B2_a1p3,7141
A1P3-7141-B3_a1p3,7141
A1P3-7141-B4_a1p3,7141
A1P3-7141-B5_a1p3,7141
A1P3-7141-B6_a1p3,7141
A1P3-7141-B7_a1p3,7141
A1P3-7141-B8_a1p3,7141
A1P3-7141-B9_a1p3,7141
A1P3-7141-C1_a1p3,7141
A1P3-7141-C10_a1p3,7141
A1P3-7141-C11_a1p3,7141
A1P3-7141-C12_a1p3,7141
A1P3-7141-C2_a1p3,7141
A1P3-7141-C3_a1p3,7141
A1P3-7141-C4_a1p3,7141
A1P3-7141-C5_a1p3,7141
A1P3-7141-C6_a1p3,7141
A1P3-7141-C7_a1p3,7141
A1P3-7141-C8_a1p3,7141
A1P3-7141-C9_a1p3,7141
A1P3-7141-D1_a1p3,7141
A1P3-7141-D10_a1p3,7141
A1P3-7141-D11_a1p3,7141
A1P3-7141-D12_a1p3,7141
A1P3-7141-D2_a1p3,7141
