Gene_1,Gene_2,MI
GATA1,MYB,0.292207765922658
GFI1B,JAK2,0.292063839624325
CD110/MPL,DDB1,0.291597946240944
CD41/ITGA2B,TMEM180/MFSD13A,0.291246250957674
GATA2,MYB,0.291216080601494
CDK6,MEIS1,0.291022234875889
CLU,LSD1/KDM1A,0.29088683166528
MEIS1,TAL1,0.290880217456353
ANK1,CD42/GP1BA,0.290749017123751
P27KIP1/CDKN1B,TGFB1,0.290732067393989
CNRIP1,HPRT1,0.289897075110097
KLF1,MYB,0.289354489512799
CD61/ITGB3,RUNX1,0.28901158628659
LOX,VWF,0.288936750818594
DDB1,MEIS1,0.288827912076766
MYB,TMOD1,0.288336476092592
CD44,CTNNB1,0.287698712646429
CD34,GATA2,0.287422605253553
ETS1,TGFB1,0.287030948819689
CTNNB1,SRD5A3,0.286625555718303
CTNNB1,GATA2,0.286291184773229
CD34,SPI1,0.286277773671783
CD105/ENG,JAK2,0.286225563336809
CD117/KIT,TMEM180/MFSD13A,0.286026516936147
CLU,SDPR,0.285346677724172
MCL1,SELP,0.28483250576945
CD42/GP1BA,MYB,0.284768262254078
CD42/GP1BA,CD9,0.284604500923032
FHL1,P27KIP1/CDKN1B,0.284430600033875
RUNX1,VWF,0.284014683395924
CNRIP1,MCL1,0.283808195066767
CLU,TAL1,0.28365463127638
CD42/GP1BA,CD44,0.283578656731661
RUNX1,SELP,0.283442966492884
CTNNB1,FOG1/ZFPM1,0.283265952670645
FOG1/ZFPM1,RUNX1,0.282725580464039
KLF1,LSD1/KDM1A,0.282690458767421
CD117/KIT,HIF1A,0.282612321855665
GFI1B,VWF,0.282351577684308
HIF1A,SPI1,0.282172440220501
CD34,EIF4EBP1,0.282086730025654
TAL1,TMOD1,0.281831646081607
GFI1B,HPRT1,0.281439974605538
CD44,CD61/ITGB3,0.281391718095483
SPI1,TGFB1,0.281044983107781
LSD1/KDM1A,SELP,0.279949836866118
CD71/TFRC,MEIS1,0.279948615264478
CD117/KIT,GABPA,0.279648865046353
ETS1,LSD1/KDM1A,0.279112385119974
LOX,LSD1/KDM1A,0.278856790829688
MCL1,SDPR,0.278659299937899
DDB1,GABPA,0.278104892770778
EIF4EBP1,FOG1/ZFPM1,0.277416120764141
GFI1B,MYB,0.276883123926552
HIF1A,JAK2,0.276748928635847
CD34,HIF1A,0.276710700246745
GABPA,JAK2,0.27615165556016
CD105/ENG,GFI1B,0.276011144923097
CD105/ENG,MYB,0.275990088723223
CTNNB1,MEIS1,0.275529957678404
CD61/ITGB3,LOX,0.274410655608489
EIF4EBP1,TMEM180/MFSD13A,0.274083072011267
KLF1,TMOD1,0.27308819001474
CD34,CD41/ITGA2B,0.27269352158681
ANK1,CDK6,0.272594322005247
CD41/ITGA2B,GABPA,0.27248665457358
CD117/KIT,CDK4,0.272001856233037
CD71/TFRC,SELP,0.271996989523306
CLU,EIF4EBP1,0.27195889562615
LSD1/KDM1A,SPI1,0.271892801669195
CLU,MYB,0.271566364354722
CD117/KIT,CD44,0.271521106219552
CD38,HPRT1,0.27133187508856
ANK1,GFI1B,0.271294006942932
CLU,FHL1,0.271225795755328
CD110/MPL,CD34,0.27116501357215
CDK6,ETS1,0.270471514192692
CD34,CLU,0.270199800062632
CD110/MPL,HIF1A,0.269720973165345
CD105/ENG,CD42/GP1BA,0.269684791331163
CD110/MPL,GATA2,0.269435263806145
CNRIP1,SRD5A3,0.269319106600634
EIF4EBP1,KLF1,0.269239393220443
CD42/GP1BA,CNRIP1,0.268276617379788
LSD1/KDM1A,TMOD1,0.2678572899111
CD110/MPL,CD117/KIT,0.267775357869162
CD44,GATA2,0.267652452893448
CD38,LSD1/KDM1A,0.267595915285057
CD36,TMOD1,0.266920121349183
GATA2,GFI1B,0.266424516004857
CD110/MPL,HPRT1,0.265908797089952
CD41/ITGA2B,SRD5A3,0.265870651501436
GABPA,GATA2,0.265230509983157
CD42/GP1BA,CDK4,0.265104523139451
CD38,CD41/ITGA2B,0.265083710253993
CD42/GP1BA,HPRT1,0.265070570989481
CLU,HPRT1,0.26501351122038
CD34,TAL1,0.26479051735016
CD117/KIT,KLF1,0.264728007153137
CD42/GP1BA,GABPA,0.264701257174155
DHRS3,KLF1,0.264569250296053
LOX,MYB,0.264412244939853
LSD1/KDM1A,P27KIP1/CDKN1B,0.264354154559346
GATA2,JAK2,0.264002414903493
CD34,GFI1B,0.263631223430576
ANK1,SRD5A3,0.263450399391044
CDK4,CTNNB1,0.263437317271873
CDK6,TMOD1,0.262831669426519
CDK4,GATA2,0.261551533523685
GABPA,SRD5A3,0.261522854247794
CD117/KIT,CD38,0.261482893013653
FOG1/ZFPM1,TGFB1,0.261375744743783
CD61/ITGB3,TAL1,0.260235559916218
CD34,SRD5A3,0.260195225395194
CDK6,TMEM180/MFSD13A,0.260094833618346
CD105/ENG,GATA1,0.259995778189586
ANK1,CD110/MPL,0.259976070606049
GATA1,HIF1A,0.259266868219489
CD105/ENG,HIF1A,0.259176880955911
CLU,VWF,0.258997602229951
CD38,CNRIP1,0.258958868855042
SELP,TGFB1,0.258345829006003
FOG1/ZFPM1,GATA1,0.258284713504454
CD110/MPL,JAK2,0.258237844591501
CD41/ITGA2B,LOX,0.258228650936885
