"Gene_1","Gene_2","MI"
"CD117/KIT","CD41/ITGA2B",0.3080858937591939
"CD44","RUNX1",0.3079429227311894
"ANK1","CD61/ITGB3",0.3076447389431432
"MCL1","TMEM180/MFSD13A",0.30714387991727826
"HPRT1","SRD5A3",0.30713380531652756
"SDPR","TAL1",0.3070893968794647
"CTNNB1","SDPR",0.3067626736994259
"MYB","SRD5A3",0.30668464591537037
"TAL1","TMEM180/MFSD13A",0.30638951894830163
"CD36","DHRS3",0.305757695640531
"HIF1A","HPRT1",0.3053954526069242
"CD38","MYB",0.30495821943152435
"CD41/ITGA2B","HIF1A",0.3044302061827359
"CTNNB1","GATA1",0.30434452603308654
"CD44","CD71/TFRC",0.3033317243789424
"GFI1B","HIF1A",0.30300332182262113
"CD105/ENG","SRD5A3",0.30263727334165214
"CD110/MPL","TAL1",0.30188078493864445
"CD41/ITGA2B","CDK6",0.3005710000698576
"CD117/KIT","GFI1B",0.3003007460471726
"CLU","GABPA",0.30014693445350965
"CD9","TGFB1",0.2982148927922061
"CNRIP1","JAK2",0.2980125983496268
"DHRS3","TAL1",0.29779805253568237
"CNRIP1","RUNX1",0.29769123839874506
"ANK1","MCL1",0.29763884085245906
"CDK6","GATA1",0.29745314467384243
"CD71/TFRC","LOX",0.29742466714816707
"GFI1B","MEIS1",0.2971404408369548
"GATA1","JAK2",0.2968269648089822
"EIF4EBP1","GABPA",0.29681870571144603
"CD34","ETS1",0.2967027144080484
"P27KIP1/CDKN1B","RUNX1",0.29663916657707035
"CD110/MPL","CDK6",0.2964054376625639
"CD41/ITGA2B","MYB",0.2960120620133705
"CD110/MPL","CTNNB1",0.2956142406188344
"CD117/KIT","GATA1",0.2951860628012855
"HPRT1","JAK2",0.2948239260994328
"CD42/GP1BA","SDPR",0.29466469598769107
"CDK6","SPI1",0.29426784280686125
"CD110/MPL","LOX",0.2940932751914174
"CD117/KIT","TMOD1",0.29343283734706016
"EIF4EBP1","SPI1",0.293025873900813
"CD61/ITGB3","GFI1B",0.29301644994539083
"CTNNB1","HPRT1",0.29277093974891044
"CD105/ENG","CDK4",0.2926186364502494
"EIF4EBP1","MEIS1",0.2924670884448456
"CD34","DDB1",0.2924665849715079
"CD71/TFRC","FOG1/ZFPM1",0.29236794711859326
"RUNX1","SDPR",0.2922341867041949
"ETS1","HIF1A",0.2922339746942101
"GATA1","MYB",0.2922077659226577
"GFI1B","JAK2",0.2920638396243247
"CD110/MPL","DDB1",0.2915979462409436
"CD41/ITGA2B","TMEM180/MFSD13A",0.2912462509576744
"GATA2","MYB",0.29121608060149395
"CDK6","MEIS1",0.29102223487588863
"CLU","LSD1/KDM1A",0.29088683166528
"MEIS1","TAL1",0.2908802174563527
"ANK1","CD42/GP1BA",0.2907490171237514
"P27KIP1/CDKN1B","TGFB1",0.2907320673939888
"CNRIP1","HPRT1",0.289897075110097
"KLF1","MYB",0.2893544895127993
"CD61/ITGB3","RUNX1",0.28901158628658963
"LOX","VWF",0.2889367508185938
"DDB1","MEIS1",0.2888279120767657
"MYB","TMOD1",0.2883364760925918
"CD44","CTNNB1",0.2876987126464289
"CD34","GATA2",0.2874226052535527
"ETS1","TGFB1",0.28703094881968894
"CTNNB1","SRD5A3",0.28662555571830284
"CTNNB1","GATA2",0.2862911847732289
"CD34","SPI1",0.2862777736717834
"CD105/ENG","JAK2",0.28622556333680943
"CD117/KIT","TMEM180/MFSD13A",0.2860265169361468
"CLU","SDPR",0.28534667772417227
"MCL1","SELP",0.2848325057694498
"CD42/GP1BA","MYB",0.28476826225407786
"CD42/GP1BA","CD9",0.28460450092303213
"FHL1","P27KIP1/CDKN1B",0.2844306000338749
"RUNX1","VWF",0.2840146833959239
"CNRIP1","MCL1",0.2838081950667666
"CLU","TAL1",0.2836546312763803
"CD42/GP1BA","CD44",0.2835786567316608
"RUNX1","SELP",0.2834429664928842
"CTNNB1","FOG1/ZFPM1",0.28326595267064525
"FOG1/ZFPM1","RUNX1",0.2827255804640393
"KLF1","LSD1/KDM1A",0.2826904587674206
"CD117/KIT","HIF1A",0.2826123218556649
"GFI1B","VWF",0.2823515776843082
"HIF1A","SPI1",0.28217244022050125
"CD34","EIF4EBP1",0.2820867300256538
"TAL1","TMOD1",0.2818316460816075
"GFI1B","HPRT1",0.28143997460553816
"CD44","CD61/ITGB3",0.2813917180954832
"SPI1","TGFB1",0.2810449831077812
"LSD1/KDM1A","SELP",0.2799498368661184
"CD71/TFRC","MEIS1",0.27994861526447845
"CD117/KIT","GABPA",0.27964886504635333
"ETS1","LSD1/KDM1A",0.27911238511997444
"LOX","LSD1/KDM1A",0.2788567908296882
"MCL1","SDPR",0.2786592999378993
"DDB1","GABPA",0.27810489277077755
"EIF4EBP1","FOG1/ZFPM1",0.27741612076414135
"GFI1B","MYB",0.27688312392655207
"HIF1A","JAK2",0.27674892863584655
"CD34","HIF1A",0.27671070024674493
"GABPA","JAK2",0.27615165556016036
"CD105/ENG","GFI1B",0.2760111449230971
"CD105/ENG","MYB",0.2759900887232235
"CTNNB1","MEIS1",0.27552995767840355
"CD61/ITGB3","LOX",0.27441065560848943
"EIF4EBP1","TMEM180/MFSD13A",0.2740830720112667
"KLF1","TMOD1",0.2730881900147397
"CD34","CD41/ITGA2B",0.27269352158681026
"ANK1","CDK6",0.27259432200524647
"CD41/ITGA2B","GABPA",0.27248665457358
"CD117/KIT","CDK4",0.2720018562330373
"CD71/TFRC","SELP",0.2719969895233056
"CLU","EIF4EBP1",0.27195889562615017
"LSD1/KDM1A","SPI1",0.271892801669195
"CLU","MYB",0.27156636435472226
"CD117/KIT","CD44",0.2715211062195518
"CD38","HPRT1",0.27133187508856027
"ANK1","GFI1B",0.271294006942932
"CLU","FHL1",0.27122579575532835
"CD110/MPL","CD34",0.27116501357215045
"CDK6","ETS1",0.27047151419269216
"CD34","CLU",0.2701998000626317
"CD110/MPL","HIF1A",0.2697209731653455
"CD105/ENG","CD42/GP1BA",0.2696847913311633
"CD110/MPL","GATA2",0.2694352638061448
"CNRIP1","SRD5A3",0.26931910660063385
"EIF4EBP1","KLF1",0.2692393932204429
"CD42/GP1BA","CNRIP1",0.2682766173797885
"LSD1/KDM1A","TMOD1",0.26785728991109964
"CD110/MPL","CD117/KIT",0.26777535786916223
"CD44","GATA2",0.2676524528934483
"CD38","LSD1/KDM1A",0.26759591528505655
"CD36","TMOD1",0.26692012134918347
"GATA2","GFI1B",0.2664245160048573
"CD110/MPL","HPRT1",0.2659087970899523
"CD41/ITGA2B","SRD5A3",0.26587065150143624
"GABPA","GATA2",0.265230509983157
"CD42/GP1BA","CDK4",0.2651045231394506
"CD38","CD41/ITGA2B",0.2650837102539929
"CD42/GP1BA","HPRT1",0.26507057098948145
"CLU","HPRT1",0.26501351122038
"CD34","TAL1",0.26479051735016046
"CD117/KIT","KLF1",0.2647280071531375
"CD42/GP1BA","GABPA",0.26470125717415527
"DHRS3","KLF1",0.2645692502960531
"LOX","MYB",0.2644122449398532
"LSD1/KDM1A","P27KIP1/CDKN1B",0.26435415455934613
"GATA2","JAK2",0.2640024149034929
"CD34","GFI1B",0.2636312234305762
"ANK1","SRD5A3",0.26345039939104364
"CDK4","CTNNB1",0.26343731727187253
"CDK6","TMOD1",0.26283166942651914
"CDK4","GATA2",0.26155153352368543
"GABPA","SRD5A3",0.261522854247794
"CD117/KIT","CD38",0.26148289301365324
"FOG1/ZFPM1","TGFB1",0.26137574474378256
"CD61/ITGB3","TAL1",0.26023555991621816
"CD34","SRD5A3",0.2601952253951937
"CDK6","TMEM180/MFSD13A",0.2600948336183458
"CD105/ENG","GATA1",0.25999577818958636
"ANK1","CD110/MPL",0.259976070606049
"GATA1","HIF1A",0.25926686821948897
"CD105/ENG","HIF1A",0.2591768809559109
"CLU","VWF",0.2589976022299514
"CD38","CNRIP1",0.2589588688550423
"SELP","TGFB1",0.2583458290060029
"FOG1/ZFPM1","GATA1",0.25828471350445426
"CD110/MPL","JAK2",0.25823784459150145
"CD41/ITGA2B","LOX",0.25822865093688535
"BIM/BCL2","CD71/TFRC",0.2578514601066513
"JAK2","MYB",0.25744404646538355
"CD38","TAL1",0.25741521315109905
"DHRS3","TGFB1",0.25700837689938094
"DDB1","LOX",0.25677506892255375
"CD42/GP1BA","JAK2",0.25656323678374915
"MCL1","VWF",0.25646735738028187
"DHRS3","LSD1/KDM1A",0.256284294227136
"CD105/ENG","CNRIP1",0.255958344410828
"CD71/TFRC","CD9",0.2558481494949377
"CTNNB1","ETS1",0.25495797053403624
"RGS18","SDPR",0.2547474122894722
"CTNNB1","SELP",0.2543555125931503
"CD41/ITGA2B","CLU",0.2541782434801806
"CD71/TFRC","ETS1",0.2541318488824831
"CD9","VWF",0.254117180107563
"GABPA","GFI1B",0.25381551181914375
"CD36","KLF1",0.2529430856195716
"CD110/MPL","MYB",0.2527235287328591
"CNRIP1","TMEM180/MFSD13A",0.25263795075022827
"CD61/ITGB3","MCL1",0.25254840617143864
"GATA2","MEIS1",0.2523920557406057
"GATA2","HIF1A",0.25228487888390133
"CD44","EIF4EBP1",0.2522453960633917
"ANK1","TMEM180/MFSD13A",0.2522094349304041
"CD117/KIT","GATA2",0.25215560544266064
"CD38","MCL1",0.2521302259253033
"CDK6","SELP",0.25205648860187474
"ANK1","CTNNB1",0.25171737024450636
"CD117/KIT","ETS1",0.25123416935868337
"CDK6","CLU",0.2511395621375908
"ETS1","TAL1",0.25113510279135126
"GATA2","SELP",0.2510548450826531
"CD41/ITGA2B","SELP",0.25086843741962095
"GFI1B","LOX",0.2507288134219543
"CD34","HPRT1",0.25072341912039064
"CD44","MYB",0.25064646154050857
"CLU","HIF1A",0.25043562240158534
"CD71/TFRC","CLU",0.25009459080824037
"CD38","CDK6",0.2498104288316877
"CDK4","GFI1B",0.24978804921587208
"CD34","CD42/GP1BA",0.24948341310386785
"CD41/ITGA2B","TMOD1",0.2490363387820388
"P27KIP1/CDKN1B","SDPR",0.24895592164477676
"CDK4","TMEM180/MFSD13A",0.2488771810503411
"GATA1","TMEM180/MFSD13A",0.2487772610309439
"CD117/KIT","SPI1",0.24854918423803835
"CD110/MPL","CLU",0.24837464740181706
"ETS1","GABPA",0.24733015002737035
"CD9","MEIS1",0.24728011193979793
"HIF1A","SRD5A3",0.24727987677135785
"CTNNB1","LOX",0.2470039975520902
"CDK4","JAK2",0.2468108082806031
"CD42/GP1BA","TMEM180/MFSD13A",0.24672790612667367
"GATA1","SRD5A3",0.24640084905111576
"CD110/MPL","GATA1",0.24638011006600127
"EIF4EBP1","ETS1",0.2463706517561075
"CD41/ITGA2B","SPI1",0.24610724339010814
"MEIS1","VWF",0.24559725877246796
"CD42/GP1BA","ETS1",0.2455650470013664
"CD71/TFRC","VWF",0.24503502843327624
"CD61/ITGB3","CLU",0.24499330872973737
"MYB","SDPR",0.24478002872999088
"CD117/KIT","MEIS1",0.2447607973208114
"TGFB1","TMEM180/MFSD13A",0.24445522662878058
"CD34","GABPA",0.24444715691049862
"CD42/GP1BA","SPI1",0.2444416712421542
"CD44","SPI1",0.24409703792514445
"CNRIP1","GATA2",0.24408342688720525
"CD34","LOX",0.24394172408978715
"CD44","DDB1",0.2438893455479305
"ANK1","FOG1/ZFPM1",0.24345620843552282
"CD61/ITGB3","MEIS1",0.24335246132355595
"DDB1","KLF1",0.24220715454906197
"HIF1A","MEIS1",0.24217914452036354
"CD36","HPRT1",0.2421607300550326
"CDK6","P27KIP1/CDKN1B",0.24141111484329197
"DHRS3","RUNX1",0.2413929022927071
"GFI1B","SRD5A3",0.24133317757781664
"ANK1","CD38",0.24107000781360827
"CD117/KIT","SELP",0.2408883592178808
"DHRS3","TMOD1",0.2407387165715935
"CLU","P27KIP1/CDKN1B",0.24062211236326256
"MYB","P27KIP1/CDKN1B",0.24008036583885733
"CD38","EIF4EBP1",0.2393320648583954
"CNRIP1","GABPA",0.23901544582130752
"ETS1","JAK2",0.2389138623267697
"CD38","CTNNB1",0.23886892120963804
"CD36","JAK2",0.23876691362556401
"CD61/ITGB3","CD71/TFRC",0.23858954318262673
"CD105/ENG","MEIS1",0.2383757692760411
"ETS1","SRD5A3",0.23833789870088465
"EIF4EBP1","P27KIP1/CDKN1B",0.2383080795876602
"CDK6","LOX",0.238049559566574
"DHRS3","MCL1",0.2379599840177941
"FOG1/ZFPM1","MCL1",0.23787732046003715
"CD105/ENG","TMEM180/MFSD13A",0.23784877831267903
"CD36","MYB",0.2376315548176956
"CD34","SELP",0.23751784760204958
"CLU","GATA2",0.236295190242215
