,gene1,gene2,value,gene_pair
263,CDK4,SRD5A3,0.330638757401535,CDK4 & SRD5A3
264,CD41/ITGA2B,JAK2,0.330564605321554,CD41/ITGA2B & JAK2
265,ANK1,CDK4,0.330103742517656,ANK1 & CDK4
266,CD117/KIT,CTNNB1,0.330038646669287,CD117/KIT & CTNNB1
267,CDK4,CDK6,0.329959812509769,CDK4 & CDK6
268,RUNX1,SPI1,0.32967093934655,RUNX1 & SPI1
269,CDK6,GFI1B,0.32954896113287,CDK6 & GFI1B
270,CD105/ENG,CD41/ITGA2B,0.329504715134377,CD105/ENG & CD41/ITGA2B
271,CDK4,MYB,0.32912361800564,CDK4 & MYB
272,GATA1,GATA2,0.328367238064211,GATA1 & GATA2
273,ANK1,HPRT1,0.327911225277344,ANK1 & HPRT1
274,CD41/ITGA2B,SDPR,0.327558113826439,CD41/ITGA2B & SDPR
275,CDK4,DDB1,0.327328296271345,CDK4 & DDB1
276,CTNNB1,GFI1B,0.327141773815316,CTNNB1 & GFI1B
277,ETS1,RUNX1,0.326765874257653,ETS1 & RUNX1
278,CD71/TFRC,TMOD1,0.326322137903839,CD71/TFRC & TMOD1
279,EIF4EBP1,MYB,0.326294477557788,EIF4EBP1 & MYB
280,CD71/TFRC,TMEM180/MFSD13A,0.325385913432375,CD71/TFRC & TMEM180/MFSD13A
281,ANK1,MYB,0.325150800758941,ANK1 & MYB
282,CD34,CD71/TFRC,0.32507741335669,CD34 & CD71/TFRC
283,MCL1,SPI1,0.324891375364487,MCL1 & SPI1
284,CTNNB1,GABPA,0.324685232365017,CTNNB1 & GABPA
285,CD42/GP1BA,CLU,0.324682832279296,CD42/GP1BA & CLU
286,CD44,TAL1,0.324292376164744,CD44 & TAL1
287,GABPA,HPRT1,0.323928367956244,GABPA & HPRT1
288,CTNNB1,P27KIP1/CDKN1B,0.32356818625334,CTNNB1 & P27KIP1/CDKN1B
289,CTNNB1,HIF1A,0.323263942191074,CTNNB1 & HIF1A
290,CNRIP1,TGFB1,0.32325235389918,CNRIP1 & TGFB1
291,CD117/KIT,CD34,0.32286538313546,CD117/KIT & CD34
292,CD105/ENG,CTNNB1,0.322221509895915,CD105/ENG & CTNNB1
293,LOX,RUNX1,0.321953598758517,LOX & RUNX1
294,ANK1,CD105/ENG,0.321643612574992,ANK1 & CD105/ENG
295,CNRIP1,EIF4EBP1,0.321619871606423,CNRIP1 & EIF4EBP1
296,ANK1,JAK2,0.321447656973779,ANK1 & JAK2
